id,adult_count,child_count,rooms_in_hh,years_in_community,primary_dw_source,daily_hh_water_cost_for_pay_to_fetch,water_storage_drinking_water,coli_mpn,tc_mpn,tap_closure_days_per_week,estimated_storage_capacity_liters,total_people,people_per_room,consumption_risk_score,water_access_score,estimated_non_dw_storage_capacity,estimated_stored_non_dw,avg_price_per_liter_cedis,Leak_Alert
95.0,1.0,0.0,1.0,4.0,1,11.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,9.220451986816348,28.492415713630255,1000.0,750.0,0.08040615759132325,1.0
96.0,2.0,4.0,1.0,12.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,5.236296758459048,3.999777073651368,750.0,750.0,0.08040615759132325,0.0
97.0,2.0,0.0,1.0,73.0,2,1.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,1.4551917483219776,0.3657906762247739,400.0,200.0,0.08040615759132325,0.0
98.0,2.0,0.0,1.0,70.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,1.4018209578602812,0.18788804135245263,375.0,375.0,0.08040615759132325,0.0
99.0,1.0,1.0,1.0,30.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,2.1841184490647434,2.7955463453673266,500.0,500.0,0.08040615759132325,0.0
100.0,4.0,2.0,3.0,73.0,2,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,1.9354838709677418,3.3863312698876658,1.35228702865781,800.0,400.0,0.08040615759132325,1.0
101.0,2.0,5.0,2.0,13.0,2,2.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,3.333333333333333,5.354704423053686,5.182348076845621,1500.0,1500.0,0.08040615759132325,1.0
102.0,2.0,2.0,1.0,11.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,2.9950522065281175,1.0138103853967548,500.0,300.0,0.08040615759132325,0.0
103.0,1.0,2.0,1.0,4.0,1,5.0,1.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,4.26552050033732,7.491128940518342,150.0,100.0,0.08040615759132325,0.0
104.0,2.0,2.0,1.0,30.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,6.409020690822437,12.39370533304449,250.0,0.0,0.08040615759132325,0.0
105.0,4.0,2.0,2.0,55.0,2,10.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,2.857142857142857,6.248388938643824,9.970820271669888,375.0,150.0,0.08040615759132325,0.0
106.0,2.0,4.0,1.0,30.0,1,15.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,11.12411709181563,23.62584485150665,0.0,0.0,0.08040615759132325,0.0
107.0,4.0,2.0,1.0,55.0,1,6.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,6.414522939980008,7.92719767872124,450.0,450.0,0.08040615759132325,1.0
108.0,1.0,3.0,2.0,10.0,1,1.0,1.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.9047619047619047,2.1480847886642978,-0.07781260921424649,500.0,500.0,0.08040615759132325,0.0
109.0,4.0,2.0,2.0,50.0,1,3.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,2.857142857142857,5.641104812218232,7.946539850251247,650.0,250.0,0.08040615759132325,0.0
110.0,3.0,4.0,1.0,8.0,1,6.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,7.4951641874604595,9.286910927898502,600.0,600.0,0.08040615759132325,0.0
111.0,2.0,0.0,1.0,5.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,1.565836371633473,0.7346060872630916,200.0,200.0,0.08040615759132325,0.0
112.0,2.0,2.0,1.0,13.0,1,7.0,1.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,5.937743135764396,10.822780149517687,775.0,700.0,0.08040615759132325,0.0
113.0,3.0,1.0,2.0,70.0,1,3.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.9047619047619047,2.625865450942393,1.5147895983794046,790.0,390.0,0.08040615759132325,0.0
114.0,1.0,0.0,1.0,7.0,1,0.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,-0.27151454806264474,-3.147472735966392,250.0,200.0,0.08040615759132325,0.0
115.0,3.0,0.0,1.0,20.0,1,1.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,2.0785993248576435,0.2013916889194166,1050.0,1000.0,0.08040615759132325,1.0
116.0,2.0,3.0,3.0,17.0,1,4.0,1.0,13.444730972413595,100.0,3.0,6057.0,5.0,1.6129032258064515,3.806982588494691,4.410372069175852,260.0,260.0,0.08040615759132325,0.0
1.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,800.0,0.0,0.0,0.0,0.0,199.0,148.0,0.28,1.0
2.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,6000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.16,1.0
3.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,13.6,3.0,600.0,0.0,0.0,0.0,0.0,199.0,148.0,0.07,0.0
4.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,48.3,3.5,8000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.25,0.0
5.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,300.0,0.0,0.0,0.0,0.0,199.0,148.0,0.04,0.0
6.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,800.0,0.0,0.0,0.0,0.0,199.0,148.0,0.04,0.0
7.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,199.0,148.0,0.04,0.0
8.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,2.0,8000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.23,0.0
9.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,6000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.07,0.0
10.0,3.0,2.0,1.0,19.0,1,8.0,0.0,4.7,100.0,3.0,500.0,0.0,0.0,0.0,0.0,199.0,148.0,0.25,0.0
11.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,8000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.09,0.0
12.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,48.3,3.0,10000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.16,0.0
13.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,3.0,3000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.28,0.0
14.0,3.0,2.0,1.0,19.0,1,8.0,0.0,13.444730972413595,100.0,3.5,27000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.25,1.0
15.0,3.0,2.0,1.0,19.0,1,8.0,0.0,1.5,100.0,1.0,10000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.28,0.0
16.0,3.0,2.0,1.0,19.0,1,8.0,0.0,0.0,100.0,2.0,5000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.07,0.0
17.0,3.0,2.0,1.0,19.0,1,8.0,0.0,5.8,100.0,3.0,10000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.11,0.0
18.0,3.0,2.0,1.0,19.0,1,8.0,0.0,9.6,48.3,3.0,15000.0,0.0,0.0,0.0,0.0,199.0,148.0,0.03,0.0
19.0,3.0,2.0,1.0,19.0,1,8.0,0.0,100.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,199.0,148.0,0.05,0.0
